name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,Late_OTA_3_R1,Late_OTA_3_R2,Late_OTA_3_R3,Late_OTA_4_R1,Late_OTA_4_R2,Late_OTA_4_R3,Late_PTA_3_R1,Late_PTA_3_R2,Late_PTA_3_R3,Late_PTA_4_R1,Late_PTA_4_R2,Late_PTA_4_R3
SCA-6_Chr1v1_01752,PUX5,66.1,57,75.2,1.265,0.3,0.46,0.74,4.6e-01,1.0e+00,0.9998,1487,25.9,55.8,88.8,37.2,62.4,72.1,88.8,95.2,40,47.4,84.4,95.3
SCA-6_Chr1v1_01753,RBG4,9.7,8.2,11.1,3.113,1.6,1.14,1.43,1.5e-01,1.0e+00,0.9998,1488,13,4,25.7,0,6.6,0,5.1,13.3,10.7,12.3,17.1,8.2
SCA-6_Chr1v1_01755,PTR33,53.9,81.2,26.6,0.343,-1.5,0.84,-1.85,6.4e-02,1.0e+00,0.9998,1489,88.4,18.9,32.7,136.4,10.4,200.4,25.7,0,45.3,38.9,17.6,32.1
SCA-6_Chr1v1_01757,GUN11,25.2,24,26.4,1.643,0.7,0.8,0.89,3.7e-01,1.0e+00,0.9998,1490,27.1,0,38.6,4.7,37.8,35.8,20.6,8.4,52,33.2,17.1,27
SCA-6_Chr1v1_01759,SCA-6_Chr1v1_01759,9.9,14,5.8,0.244,-2,1.72,-1.18,2.4e-01,1.0e+00,0.9998,1491,0,38.9,24.5,0,20.8,0,1.3,0,0,13.3,10.7,9.2
SCA-6_Chr1v1_01761,NAT1,26.8,15.2,38.4,2.163,1.1,0.91,1.23,2.2e-01,1.0e+00,0.9998,1492,0,2,16.4,31,22.7,19.2,16.7,7.2,24,84.4,33.1,65.2
SCA-6_Chr1v1_01762,AUG2,38.4,34.5,42.3,1.281,0.4,0.49,0.73,4.6e-01,1.0e+00,0.9998,1493,31.8,18.9,36.2,26.4,50.1,43.3,32.2,36.2,66.6,53.1,28.3,37.2
SCA-6_Chr1v1_01763,SCA-6_Chr1v1_01763,48,44.1,52,1.141,0.2,0.62,0.31,7.6e-01,1.0e+00,0.9998,1494,8.2,45.8,38.6,46.5,98.2,27.3,24.5,37.4,69.3,43.6,96.2,40.8
SCA-6_Chr1v1_01764,SUMO1,3064.4,2925.8,3203.1,0.92,-0.1,0.45,-0.27,7.9e-01,1.0e+00,0.9998,1495,899,3788.8,3790,871.1,4826.5,3379.2,1449.2,3697.4,1736.5,2730.8,4841,4763.4
SCA-6_Chr1v1_01765,SCA-6_Chr1v1_01765,931.5,573.2,1289.7,1.479,0.6,0.54,1.05,2.9e-01,1.0e+00,0.9998,1496,365.3,144.5,487.5,731.6,663.2,1047.3,366.8,172.4,371.8,1942.6,1390.1,3494.7
SCA-6_Chr1v1_01768,SCA-6_Chr1v1_01768,10.6,11.4,9.8,0.964,-0.1,1.33,-0.04,9.7e-01,1.0e+00,0.9998,1497,29.5,2,8.2,4.7,0,24,18,0,0,14.2,7.5,19.4
SCA-6_Chr1v1_01769,PUB4,29.2,30.9,27.6,0.903,-0.1,0.53,-0.28,7.8e-01,1.0e+00,0.9998,1498,24.7,40.8,33.9,41.9,16.1,27.8,30.9,14.5,22.7,41.7,32.1,23.4
SCA-6_Chr1v1_01770,SCA-6_Chr1v1_01770,89.1,93.9,84.3,1.172,0.2,0.74,0.31,7.6e-01,1.0e+00,0.9998,1499,48.3,33.9,30.4,379.8,15.1,56.1,154.4,33.8,170.6,79.7,52.9,14.3
SCA-6_Chr1v1_01772,ACCO,134.9,111.9,157.8,1.419,0.5,0.5,1.02,3.1e-01,1.0e+00,0.9998,1500,81.3,179.3,29.2,124,76.5,181.1,173.7,149.5,193.2,75.9,73.8,280.7
SCA-6_Chr1v1_01773,ACCO1,76.8,72.4,81.2,1.265,0.3,0.56,0.6,5.5e-01,1.0e+00,0.9998,1501,97.8,121.5,92.4,6.2,82.2,34.2,91.4,136.2,64,93,64.7,37.7
SCA-6_Chr1v1_01774,DSP1,47.1,42.7,51.5,1.123,0.2,0.75,0.22,8.2e-01,1.0e+00,0.9998,1502,23.6,4,87.7,15.5,40.6,85,5.1,74.7,25.3,56,52.4,95.8
SCA-6_Chr1v1_01776,COP1,513.6,517.5,509.7,1.025,0,0.26,0.14,8.9e-01,1.0e+00,0.9998,1503,644.5,435.4,696.7,395.3,392.1,540.8,673.1,407.5,606.4,553,472.4,346
SCA-6_Chr1v1_01777,AGO16,25,19.2,30.9,2.194,1.1,0.83,1.36,1.7e-01,1.0e+00,0.9998,1504,17.7,19.9,56.1,0,15.1,6.4,7.7,31.3,50.6,51.2,23,21.4
SCA-6_Chr1v1_01778,C3H3,5.8,6.8,4.7,1.085,0.1,1.62,0.07,9.4e-01,1.0e+00,0.9998,1505,11.8,11,10.5,0,7.6,0,3.9,1.2,0,19.9,3.2,0
SCA-6_Chr1v1_01779,SCA-6_Chr1v1_01779,71.1,66.8,75.3,0.994,0,0.46,-0.02,9.8e-01,1.0e+00,0.9998,1506,56.6,33.9,25.7,103.9,27.4,153.4,60.5,37.4,50.6,56.9,120.2,126.4
SCA-6_Chr1v1_01780,SCA-6_Chr1v1_01780,55.1,46,64.2,1.521,0.6,0.48,1.27,2.1e-01,1.0e+00,0.9998,1507,58.9,81.7,42.1,49.6,15.1,28.9,77.2,74.7,86.6,64.5,29.4,53
SCA-6_Chr1v1_01784,PDI22,431.9,334,529.8,1.255,0.3,0.3,1.09,2.8e-01,1.0e+00,0.9998,1508,267.5,266,226.8,331.7,347.7,564.3,418.3,243.5,283.9,389.8,601.2,1242.2
SCA-6_Chr1v1_01786,ZW10,229.7,242.9,216.5,0.923,-0.1,0.44,-0.27,7.9e-01,1.0e+00,0.9998,1509,207.4,193.3,202.2,534.8,99.2,220.7,319.2,259.2,346.5,163.1,114.4,96.8
SCA-6_Chr1v1_01787,GDL34,131.5,124.2,138.8,1.204,0.3,0.41,0.65,5.1e-01,1.0e+00,0.9998,1510,102.5,96.6,162.5,32.6,193.7,157.1,95.2,135,227.9,95.8,150.2,128.4
SCA-6_Chr1v1_01789,LPXB,20.5,25.1,15.8,0.634,-0.7,0.98,-0.67,5.0e-01,1.0e+00,0.9998,1511,21.2,28.9,30.4,10.9,11.3,48.1,43.8,1.2,0,31.3,11.2,7.6
